"Tytuł produktu","Kod produktu","Kategoria","Zdjęcie","Dokumentacja produktowa","Opis"
" Powłoka wysoko połyskowa zabezpieczająca do podłóg twardych","PP 509","Podłogi","https://www.forlux.pl/sites/default/files/produkty/p1090012.jpg","https://www.forlux.pl/sites/default/files/karta_charakterystki/pp_09_-_forlux_karta_charakterystyki.pdf","
Wysokopołyskowa powłoka zabezpieczająca do podłóg twardych PP 09

Zastosowanie:
Powłoka Forlux PP509 jest produktem na bazie uretanów i polimerów akrylowych , zapewniających bardzo wysoką trwałość i idealny połysk posadzek twardych. Posiada doskonałe właściwości wyrównujące. Należy stosować ją szczególnie tam, gdzie powierzchnia jest bardzo zniszczona. Powłoka jest odporna na środki dezynfekujące. Posiada właściwości antypoślizgowe. Forlux PP 509 można stosować na wszystkie rodzaje podłóg twardych: marmur, kamień sztuczny i naturalny, płytki, lastriko, beton zatarty itp. Doskonale sprawdza się w miejscach o natężonym ruchu. Zapewnia trwałą i gładką powłokę ochronną, co gwarantuje doskonały efekt wizualny, ułatwia mycie podłóg i utrzymanie czystości.

Sposób użycia:
Przygotować posadzkę poprzez usunięcie starych powłok za pomocą preparatu Forlux PG 514 w stężeniu około 500 ml na 10 litrów wody. Starannie umyć i dwukrotnie zneutralizować posadzkę czystą wodą. Nałożyć 2 lub 3 warstwy Forlux PP 509 czystym mopem. Odczekać minimum 30 minut pomiędzy nałożeniem kolejnych warstw aż do całkowitego wyschnięcia. W przypadku bardzo porowatych lub kamiennych podłóg zastosować podkład uszczelniający PPI 508 lub nałożyć jedną lub dwie dodatkowe warstwy PP 509. Najlepszy efekt i trwałość powłoki uzyskasz, jeżeli polerowanie polerką szybkoobrotową (1500 obr/ min.) zostanie wykonane w odstępie 2- 3 dni od momentu położenia powłoki PP 509. Do codziennego mycia podłóg zabezpieczonych polimerem PP 509 zalecamy preparat ZC 507 w stężeniu 50 ml na 10 litrów wody.
Film prezentujący technologię nakładania polimeru jest dostępny na stronie www.forlux.pl w zakładce produkty/ NABŁYSZCZANIE PODŁÓG- POLIMERY.

pH 8,6- 9,6
Dostępne opakowania
5L - PP 509
"
"ALKOHOLOWY PŁYN DO SZYBKIEJ DEZYNFEKCJI","PSD - SURFSTERIL","Kuchnia, Powierzchnie zmywalne, Sanitariaty","https://www.forlux.pl/sites/default/files/produkty/psd_surfsteril_2017_3.jpg","https://www.forlux.pl/sites/default/files/karta_charakterystki/pozw.mz_surfsteril_0.pdf, https://www.forlux.pl/sites/default/files/karta_charakterystki/psd_-_surfsteril_wersja_3.1_19_marca_2015_clp._forlux.pdf"," 
Płyn alkoholowy do szybkiej dezynfekcji.
Przeznaczenie. Preparat przeznaczony jest do dezynfekcji czystych powierzchni w placówkach służby zdrowia, w obiektach użyteczności publicznej oraz w przemyśle spożywczym i gospodarstwach domowych. Posiada działanie bakteriobójcze, prątkobójcze i grzybobójcze. Zakres zastosowania: powszechny.
Sposób użycia. Dezynfekowaną powierzchnię (nie większą niż 2 m²) spryskać preparatem, a następnie starannie rozprowadzić za pomocą jałowej gazy do całkowitego zwilżenia powierzchni, pozostawić na 15 minut. W przypadku zagrożenia prątkami gruźlicy powierzchnię zmyć – nie stosować spryskiwania. Pomieszczenia bez klimatyzacji po dezynfekcji dokładnie wywietrzyć. Powierzchnie kontaktujące się z żywnością należy spłukać wodą zdatną do picia.
Preparat należy przechowywać w oryginalnych, zamkniętych opakowaniach w temperaturze 0÷30°C, z dala od źródeł ognia.
Pozwolenie Ministra Zdrowia Nr 1100/04 na obrót produktem biobójczym.
Opinia PZH nr: HB/1027/02, HŻ/10659/01 ZN-02/Imp-96.
Dostepne opakowania: 
0,5 L - PSD surfsteril

 
"
"AUTOWOSK - SZAMPON","AW 107","Samochody","https://www.forlux.pl/sites/default/files/produkty/aw_107_2017.jpg","","ZASTOSOWANIE
Bardzo wydajny szampon samochodowy do bieżącego ręcznego mycia pojazdów, nadający połysk karoserii samochodowej. Zawarte w nim składniki tworzą na mytej powierzchni ochronną, lśniącą warstwę bez smug, co zabezpiecza myte powierzchnie przed powstawaniem korozji oraz chroni przed zbyt szybkim ponownym zabrudzeniem.
SPOSÓB UŻYCIA
Stosować w rozcieńczeniu od 10 do 100 ml na 5 litrów wody. Preparat należy nanieść gąbką lub miękką szczotką, po czym spłukać wodą.
SKŁAD
"
"BEZALKOHOLOWY KONCENTRAT DO DEZYFEKCJI","ZDM 025","Powierzchnie zmywalne, Dezynfekcja","https://www.forlux.pl/sites/default/files/produkty/dsc08759.jpg","https://www.forlux.pl/sites/default/files/karta_charakterystki/solar_wash_wersja_2.1_11_stycznia_2013_1.pdf, https://www.forlux.pl/sites/default/files/karta_charakterystki/pozw.mz_solarwash.pdf","ZDM - Solarwash
Mycie oraz szybka dezynfekcja małych powierzchni
Zastosowanie
Dezynfekcji powierzchni, urządzeń, a także różnego wyposażenia w obiektach użyteczności publicznej oraz gospodarstwach domowych, łózek do opalania, a także innych powierzchni oraz wyposażenia w solariach, gabinetach odnowy biologicznej, gabinetach kosmetycznych, fryzjerskich, siłowniach i klubach fitness. Preparatu nie należy stosować do mycia i dezynfekcji wyrobów medycznych.

Sposób przygotowania roztworu użytkowego
50 ml skoncentrowanego płynu wlać do butelki. Uzupełnić wodą do 500 ml. Dokładnie wymieszać.
Produkt posiada pozwolenie Ministra Zdrowiana obrót produktem biobójczym, oraz certyfikat HŻ

Dostępne opakowania
ZDM 025 - butelka 0,25 l z dozownikiem w komplecie z butelką z rozpryskiwaczem 
"
"BEZZAPACHOWY PŁYN DO MYCIA WSZYSTKICH POWIERZCHNI ZMYWALNYCH ","ZA 507","Kuchnia, Mycie codzienne, Podłogi, Mycie codzienne, Powierzchnie zmywalne, Mycie codzienne, Samochody, Mycie codzienne, Sanitariaty, Mycie codzienne, Specjalistyczne, Pielęgnacja","https://www.forlux.pl/sites/default/files/produkty/za_507_2017.jpg","https://www.forlux.pl/sites/default/files/karta_charakterystki/forlux_za_507_01-10-2016_r_karta_charakterystyki.pdf","Bezzapachowy płyn do mycia powierzchni zmywalnych.
Zastosowanie. Forlux ZA 507 jest to preparat bezzapachowy, przeznaczony do mycia wszystkich zmywalnych powierzchni np.: szkło, meble, marmur, powierzchnie z tworzyw sztucznych. Czyści dokładnie i nie pozostawia smug. Nadaje powierzchni idealny połysk. Polecany szczególnie do czyszczenia powierzchni zmywalnych w pomieszczeniach wymagających bezzapachowych środków czyszczących np.: zakłady przetwórstwa spożywczego oraz w kuchniach małej i dużej gastronomii.
Produkt posiada świadectwo jakości zdrowotnej Atest PZH H-HŻ-6071-0073/2017/A
Sposób użycia. Stosować rozcieńczenie w zależności od stopnia zabrudzenia powierzchni, odmierzając 20–200 ml koncentratu na 10 litrów wody. W przypadku mających kontakt z żywnością, spłukać dokładnie wodą przeznaczoną do spożycia. W przypadku mycia dużych powierzchni, takich jak ściany, podłogi - pozostawić do wyschnięcia.
Skład. Zawiera chlorek benzalkoniowy. "
"CARING CREAM - KREM DO RĄK ","RK 06","Ręce, Pielęgnacja","https://www.forlux.pl/sites/default/files/produkty/rk_006.jpg","https://www.forlux.pl/sites/default/files/karta_charakterystki/zgloszenie_kremu_do_rak_rk_006_do_krajowego_systemu_informowania_o_kosmetykach_wprowadzonych_do_obrotu_na_terenie_rp.pdf, https://www.forlux.pl/sites/default/files/karta_charakterystki/forlux_rk-_krem_do_rak_20-10-16r.pdf","Zastosowanie:
Krem służy do codziennej pielęgnacji skóry rąk. Dzięki dużej zawartości gliceryny o wysokim stopniu wchłanialności przenika do głębszych warstw naskórka i pozostaje tam utrzymując wodę aż do 24 godzin. W wyraźny sposób nawilża i odżywia skórę, poprawia jej elastyczność i miękkość. Pozostawia delikatny zapach konwalii.
Sposób użycia:
Na czyste i suche dłonie nanieść krem i delikatnie wmasować. Stosować po każdym myciu rąk.
Skład:
Aqua, Glycerin, Cetearyl Alcohol, Isopropyl Palmitate, Propylene Glycol, Mineral Oil, Ceteareth-12, Triethanoloamine, Dimethicone, Urea, Carbomer, Aloe Vera, 2-Bromo-2-Nitropropane-1,3-Diol, Perfume, Geraniol.
Produkt zgłoszony do Krajowego Systemu Informowania o Kosmetykach.
pH 6
Dostępne opakowania:
0,5L - RK 006
"
"Codzienne Mycie o Zapachu Leśna Knwalia","PCK 07","Kuchnia, Mycie codzienne, Podłogi, Mycie codzienne, Powierzchnie zmywalne, Mycie codzienne","https://www.forlux.pl/sites/default/files/produkty/dsc00215.jpg","","Zastosowanie:
Forlux Podłoga PCK 07 jest uniwersalnym płynem przeznaczonym do codziennego mycia wszelkich wodoodpornych podłóg. Doskonale sprawdza się do czyszczenia szafek, parapetów, glazury, oraz zewnętrznych elementów urządzeń kuchennych. Czyści dokładnie pozostawiając długotrwały kilkugodzinny zapach leśnej kowalii dający uczucie świeżości w mytych pomieszczeniach.
Sposób użycia:
Dozować 25 ml płynu (jedna nakrętka) na 5 litrów wody. Przy silnych zabrudzeniach dozować odpowiednio więcej.
Skład:
Substancje pomocnicze, kompozycja zapachowa.
pH 07 
Dostępne opakowania :
1L PCK 107
5L PCK 507
"
"Codzienne Mycie o Zapachu Owoców Lasu","PCO 10","Kuchnia, Mycie codzienne, Podłogi, Mycie codzienne, Powierzchnie zmywalne, Mycie codzienne, Sanitariaty, Mycie codzienne","https://www.forlux.pl/sites/default/files/produkty/dsc00216.jpg","https://www.forlux.pl/sites/default/files/karta_charakterystki/forlux_pco_10_20-02-2016_r.pdf","Zastosowanie:
Forlux Podłoga PCO 510 jest uniwersalnym płynem przeznaczonym do codziennego mycia wszelkich wodoodpornych podłóg. Doskonale sprawdza się do czyszczenia szafek, parapetów, glazury, oraz zewnętrznych elementów urządzeń kuchennych. Czyści dokładnie pozostawiając długotrwały kilkugodzinny zapach owoców lasu dający uczucie świeżości w mytych pomieszczeniach.
Sposób użycia:
Dozować 25 ml płynu (jedna nakrętka) na 5 litrów wody. Przy silnych zabrudzeniach dozować odpowiednio więcej.
Skład:
Anionowe związki powierzchniowo czynne "
"Codzienne Mycie o Zapachu Owocowa guma balonowa","PCG 07","Kuchnia, Mycie codzienne, Podłogi, Mycie codzienne, Powierzchnie zmywalne, Mycie codzienne","https://www.forlux.pl/sites/default/files/produkty/dsc00213.jpg","","Zastosowanie:
Forlux Podłoga PCG 07 jest uniwersalnym płynem przeznaczonym do codziennego mycia wszelkich wodoodpornych podłóg. Doskonale sprawdza się do czyszczenia szafek, parapetów, glazury, oraz zewnętrznych elementów urządzeń kuchennych. Czyści dokładnie pozostawiając długotrwały kilkugodzinny zapach owocowej gumy balonowej dający uczucie świeżości w mytych pomieszczeniach.
Sposób użycia:
Dozować 25 ml płynu (jedna nakrętka) na 5 litrów wody. Przy silnych zabrudzeniach dozować odpowiednio więcej.
Skład:
Substancje pomocnicze, kompozycja zapachowa.
pH 07  
Dostępne opakowania :
1L PCG 107
5L PCG 507
"
"Codzienne mycie podłóg drewnianych - Forlux PD 9","PD 9","Podłogi, Mycie codzienne","https://www.forlux.pl/sites/default/files/produkty/pd_1009_.jpg","https://www.forlux.pl/sites/default/files/karta_charakterystki/pd_09_for_drew.pdf","Zastosowanie:
Koncentrat na bazie olejku z pomarańczy do mycia zabezpieczonych podłóg drewnianych.
Doskonale sprawdza się również na podłogach z PCV, lakierowanych, posadzek z lastrico, paneli podłogowych, linoleum, terakoty itp..
Skutecznie usuwa tłuszcz. Nie pozostawia smug.
Pozostawia przyjemny długo utrzymujący się zapach.       
Dozowanie:
W zależności od stopnia zabrudzenia, rozpuścić 25-200 ml preparatu w 10 litrach ciepłej wody.
Umyć powierzchnię podłogi.
Nie wymaga spłukiwania.  
pH 9
Dostępne opakowania:
1L - PD 109
5L - PD 509
"
